,Unnamed: 0,Unnamed: 0.1,Name_lap,Url,Name_clean,Price,Summary,CPU,RAM,Hardware,Card,Screen,lap_top_id,First_label
0,0,0,Laptop Dell Latitude 7280  - Intel Core i7,laptop-latitude-7280-core-i7.html,dell latitude 7280,11700000, Cấu hình ổn định hợp cho coder làm máy phụ xử lý tốt bảng tính excel nặng Siêu bền bỉ ,Intel Core i7 - 6600U,RAM 8GB DDR3L,SSD 256GB,Card onboard Intel HD 620,12.5 Inch Full HD,laptop_0,mỏng nhẹ nhỏ gọn chip đời cao mạnh_mẽ
1,1,1,[Mới 99% Refurbished] Laptop Lenovo IdeaPad 5 14IIL05 81YH0017US - Intel Core i5,moi-99-refurbished-laptop-lenovo-ideapad-5-14iil05-81yh0017us-intel-core-i5.html,lenovo ideapad 5 14iil05 81yh0017us,13290000,Chip i5 đời 10 màn hình Full HD Bảo hành 12 tháng ,Intel Core i5 1035G1,RAM 8GB DDR4,SSD 256GB NVMe,Card Intel UHD Graphics,14 Inch Full HD,laptop_1,văn_phòng cấu_hình tốt
2,2,2,[Mới 100% Full Box] Laptop HP 15s-fq1107TU 193Q3PA - Intel Core i3,moi-100-full-box-laptop-hp-15s-fq1107tu-193q3pa-intel-core-i3.html,hp 15s,10690000,Mỏng nhẹ bền bỉ màn to CPU Intel đời 10 cực khỏe xử lý mượt mọi công việc Bảo hành 12 tháng chính hãng HP ,Intel Core i3 1005G1,RAM 4GB DDR4,SSD 256GB NVMe,Card Intel UHD Graphics,15.6 Inch HD,laptop_2,văn_phòng giá rẻ
3,3,3,[Mới 100% Full Box] Laptop Dell Vostro 15 3500 7G3981 - Intel Core i5,moi-100-full-box-laptop-dell-vostro-15-3500-7g3981-intel-core-i5.html,dell vostro 15 3500 7g3981,15690000,Chip i5 đời 11 Màn hình Full HD Bảo hành 12 tháng chính hãng Dell ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 256GB NVMe,Card Intel® Iris® Xe Graphics,15.6 Inch Full HD,laptop_3,văn_phòng cấu_hình tốt
4,4,4,[Mới 100% Full Box] Laptop Acer Aspire 5 A514-54 - 38TM / 32ZW / 36YJ - Intel Core i3,moi-100-full-box-laptop-acer-aspire-5-a514-54-38tm-32zw-36yj-intel-core-i3.html,acer aspire 5 a514,12590000,Chip Intel đời 11 màn hình Full HD IPS Bảo hành 12 tháng chính hãng Acer ,Intel Core i3 1115G4,RAM 4GB DDR4,SSD 256GB NVMe,Card Intel HD 620,14 Inch Full HD,laptop_4,văn_phòng thời_trang giá rẻ
5,5,5,[Mới 100% Full Box] Laptop Dell Latitude 3510 70233210 - Intel Core i3,moi-100-full-box-laptop-dell-latitude-3510-70233210-intel-core-i3.html,dell latitude 3510 70233210,10490000,Chip Intel đời 10 sẵn SSD Bảo hành 12 tháng chính hãng Dell ,Intel Core i3 10110U,RAM 4GB DDR4,HDD 1TB,Card Intel UHD Graphics,15 Inch HD,laptop_5,văn_phòng giá rẻ
6,6,6,[Mới 100% Full Box] Laptop HP Pavilion 14-dv0009TU 2D7A7PA - Intel Core i5,moi-100-full-box-laptop-hp-pavilion-14-dv0009tu-2d7a7pa-intel-core-i5.html,hp pavilion 14,17290000,Chip i5 đời 11 màn hình Full HD Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 512GB NVMe,Card Intel® Iris Xe Graphics,14 Inch Full HD,laptop_6,văn_phòng mỏng nhẹ sang_trọng
7,7,7,[Mới 100% Full Box] Laptop HP Pavilion 14-dv0008TU 2D7A5PA - Intel Core i5,moi-100-full-box-laptop-hp-pavilion-14-dv0008tu-2d7a5pa-intel-core-i5.html,hp pavilion 14,17290000,Chip i5 đời 11 màn hình Full HD Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1135G7,RAM 8GB DDR4,SSD 512GB NVMe,Card Intel® Iris Xe Graphics,14 Inch Full HD,laptop_7,văn_phòng mỏng nhẹ sang_trọng
8,8,8,[Mới 100% Full Box] Laptop Dell Vostro 3405 V4R33250U501W - AMD Ryzen 3,moi-100-full-box-laptop-dell-vostro-3405-v4r33250u501w-amd-ryzen-3/p5823.html,dell vostro 3405 v4r33250u501w,9490000,Chip AMD Ryzen 3 Radeon Vega 3 Chơi được game nhẹ làm PTS mượt Bảo hành 12 tháng chính hãng Dell ,AMD Ryzen 3 3250U,RAM 4GB DDR4,HDD 1TB,Card AMD Radeon Vega 3,14 Inch HD,laptop_8,văn_phòng giá rẻ
9,9,9,[Mới 100% Full Box] Laptop HP 250 G7 258M8PA - Intel Core i5,moi-100-full-box-laptop-hp-250-g7-258m8pa-intel-core-i5/p5882.html,hp 250 g7 258m8pa,13290000,Nhiều cổng kết nối đa dạng Bảo hành 12 tháng chính hãng HP ,Intel Core i5 1035G1,RAM 4GB DDR4,SSD 256GB NVMe,Card Intel UHD Graphics,15.6 Inch Full HD,laptop_9,chip intel i5 đời 10 màn_hình full hd
